2010-10-16 11:35:54+0200 [scrapy] INFO: Scrapy 0.10.2 started (bot: liberbot)
2010-10-16 11:35:54+0200 [scrapy] DEBUG: Enabled extensions: FeedExporter, TelnetConsole, SpiderContext, WebService, CoreStats, MemoryUsage, CloseSpider
2010-10-16 11:35:54+0200 [scrapy] DEBUG: Enabled scheduler middlewares: DuplicatesFilterMiddleware
2010-10-16 11:35:54+0200 [scrapy] DEBUG: Enabled downloader middlewares: HttpAuthMiddleware, DownloadTimeoutMiddleware, UserAgentMiddleware, RetryMiddleware, DefaultHeadersMiddleware, RedirectMiddleware, CookiesMiddleware, HttpCompressionMiddleware, DownloaderStats, HttpCacheMiddleware
2010-10-16 11:35:54+0200 [scrapy] DEBUG: Enabled spider middlewares: HttpErrorMiddleware, OffsiteMiddleware, RefererMiddleware, UrlLengthMiddleware, DepthMiddleware
2010-10-16 11:35:54+0200 [scrapy] DEBUG: Enabled item pipelines: 
2010-10-16 11:35:54+0200 [scrapy] DEBUG: Telnet console listening on port 6023
2010-10-16 11:35:54+0200 [scrapy] DEBUG: Web service listening on port 6080
2010-10-16 11:35:54+0200 [eztv] INFO: Spider opened
2010-10-16 11:35:55+0200 [eztv] DEBUG: Crawled (200) <GET http://eztv.it/shows/203/nurse-jackie/> (referer: None)
2010-10-16 11:35:55+0200 [eztv] INFO: Passed LiberBotItems(lang='English', temp='02', links='http://zoink.it/torrent/4920962E1B4B7FCBA6CDF436723438856ECA4E98.torrent', serie='Nurse Jackie', epi='05', type='Torrent')
2010-10-16 11:35:55+0200 [eztv] DEBUG: Scraped LiberBotItems(lang='English', temp='02', links='http://torrent.zoink.it/Nurse.Jackie.S02E04.HDTV.XviD-LOL.[eztv].torrent', serie='Nurse Jackie', epi='04', type='Torrent') in <http://eztv.it/shows/203/nurse-jackie/>
2010-10-16 11:35:55+0200 [eztv] INFO: Passed LiberBotItems(lang='English', temp='02', links='http://torrent.zoink.it/Nurse.Jackie.S02E04.HDTV.XviD-LOL.[eztv].torrent', serie='Nurse Jackie', epi='04', type='Torrent')
2010-10-16 11:35:55+0200 [eztv] DEBUG: Scraped LiberBotItems(lang='English', temp='02', links='http://www.bt-chat.com/download.php?info_hash=eeffac76da62a189ccb401c150f7fc1e3809fc51', serie='Nurse Jackie', epi='04', type='Torrent') in <http://eztv.it/shows/203/nurse-jackie/>
2010-10-16 11:35:55+0200 [eztv] INFO: Passed LiberBotItems(lang='English', temp='02', links='http://www.bt-chat.com/download.php?info_hash=eeffac76da62a189ccb401c150f7fc1e3809fc51', serie='Nurse Jackie', epi='04', type='Torrent')
2010-10-16 11:35:55+0200 [eztv] DEBUG: Scraped LiberBotItems(lang='English', temp='02', links='http://torrage.com/torrent/EEFFAC76DA62A189CCB401C150F7FC1E3809FC51.torrent', serie='Nurse Jackie', epi='04', type='Torrent') in <http://eztv.it/shows/203/nurse-jackie/>
2010-10-16 11:35:55+0200 [eztv] INFO: Passed LiberBotItems(lang='English', temp='02', links='http://torrage.com/torrent/EEFFAC76DA62A189CCB401C150F7FC1E3809FC51.torrent', serie='Nurse Jackie', epi='04', type='Torrent')
2010-10-16 11:35:55+0200 [eztv] DEBUG: Scraped LiberBotItems(lang='English', temp='02', links='http://torrent.zoink.it/Nurse.Jackie.S02E03.HDTV.XviD-NoTV.[eztv].torrent', serie='Nurse Jackie', epi='03', type='Torrent') in <http://eztv.it/shows/203/nurse-jackie/>
2010-10-16 11:35:55+0200 [eztv] INFO: Passed LiberBotItems(lang='English', temp='02', links='http://torrent.zoink.it/Nurse.Jackie.S02E03.HDTV.XviD-NoTV.[eztv].torrent', serie='Nurse Jackie', epi='03', type='Torrent')
2010-10-16 11:35:55+0200 [eztv] DEBUG: Scraped LiberBotItems(lang='English', temp='02', links='http://www.bt-chat.com/download.php?info_hash=4fc5c316f7ae3be57450a95a7a86a93a8a062420', serie='Nurse Jackie', epi='03', type='Torrent') in <http://eztv.it/shows/203/nurse-jackie/>
