2010-10-16 11:31:58+0200 [scrapy] INFO: Scrapy 0.10.2 started (bot: liberbot)
2010-10-16 11:31:58+0200 [scrapy] DEBUG: Enabled extensions: FeedExporter, TelnetConsole, SpiderContext, WebService, CoreStats, MemoryUsage, CloseSpider
2010-10-16 11:31:58+0200 [scrapy] DEBUG: Enabled scheduler middlewares: DuplicatesFilterMiddleware
2010-10-16 11:31:58+0200 [scrapy] DEBUG: Enabled downloader middlewares: HttpAuthMiddleware, DownloadTimeoutMiddleware, UserAgentMiddleware, RetryMiddleware, DefaultHeadersMiddleware, RedirectMiddleware, CookiesMiddleware, HttpCompressionMiddleware, DownloaderStats, HttpCacheMiddleware
2010-10-16 11:31:58+0200 [scrapy] DEBUG: Enabled spider middlewares: HttpErrorMiddleware, OffsiteMiddleware, RefererMiddleware, UrlLengthMiddleware, DepthMiddleware
2010-10-16 11:31:58+0200 [scrapy] DEBUG: Enabled item pipelines: 
2010-10-16 11:31:58+0200 [scrapy] DEBUG: Telnet console listening on port 6023
2010-10-16 11:31:58+0200 [scrapy] DEBUG: Web service listening on port 6080
2010-10-16 11:31:58+0200 [eztv] INFO: Spider opened
2010-10-16 11:31:58+0200 [eztv] DEBUG: Crawled (200) <GET http://eztv.it/shows/90/everybody-hates-chris/> (referer: None)
2010-10-16 11:31:58+0200 [eztv] INFO: Passed LiberBotItems(lang='English', temp='04', links='http://www.bt-chat.com/download.php?info_hash=3eeacdb4ca2bbec415a91287ed24f83922a8c31e', serie='Everybody Hates Chris', epi='10', type='Torrent')
2010-10-16 11:31:58+0200 [eztv] DEBUG: Scraped LiberBotItems(lang='English', temp='04', links='http://www.mininova.org/tor/2087953', serie='Everybody Hates Chris', epi='10', type='Torrent') in <http://eztv.it/shows/90/everybody-hates-chris/>
2010-10-16 11:31:58+0200 [eztv] INFO: Passed LiberBotItems(lang='English', temp='04', links='http://www.mininova.org/tor/2087953', serie='Everybody Hates Chris', epi='10', type='Torrent')
2010-10-16 11:31:58+0200 [eztv] DEBUG: Scraped LiberBotItems(lang='English', temp='04', links='http://torrent.zoink.it/Everybody.Hates.Chris.S04E09.HDTV.XviD-LOL.[eztv].torrent', serie='Everybody Hates Chris', epi='09', type='Torrent') in <http://eztv.it/shows/90/everybody-hates-chris/>
2010-10-16 11:31:58+0200 [eztv] INFO: Passed LiberBotItems(lang='English', temp='04', links='http://torrent.zoink.it/Everybody.Hates.Chris.S04E09.HDTV.XviD-LOL.[eztv].torrent', serie='Everybody Hates Chris', epi='09', type='Torrent')
2010-10-16 11:31:58+0200 [eztv] DEBUG: Scraped LiberBotItems(lang='English', temp='04', links='http://www.bt-chat.com/download.php?info_hash=3381d4f3fc162e3af5a59facd364d2389a77b2ff', serie='Everybody Hates Chris', epi='09', type='Torrent') in <http://eztv.it/shows/90/everybody-hates-chris/>
2010-10-16 11:31:58+0200 [eztv] INFO: Passed LiberBotItems(lang='English', temp='04', links='http://www.bt-chat.com/download.php?info_hash=3381d4f3fc162e3af5a59facd364d2389a77b2ff', serie='Everybody Hates Chris', epi='09', type='Torrent')
2010-10-16 11:31:58+0200 [eztv] DEBUG: Scraped LiberBotItems(lang='English', temp='04', links='http://www.mininova.org/tor/2048035', serie='Everybody Hates Chris', epi='09', type='Torrent') in <http://eztv.it/shows/90/everybody-hates-chris/>
2010-10-16 11:31:58+0200 [eztv] INFO: Passed LiberBotItems(lang='English', temp='04', links='http://www.mininova.org/tor/2048035', serie='Everybody Hates Chris', epi='09', type='Torrent')
2010-10-16 11:31:58+0200 [eztv] DEBUG: Scraped LiberBotItems(lang='English', temp='04', links='http://torrent.zoink.it/Everybody.Hates.Chris.S04E08.HDTV.XvID-NoTV.[eztv].torrent', serie='Everybody Hates Chris', epi='08', type='Torrent') in <http://eztv.it/shows/90/everybody-hates-chris/>
